Time,ColorTemp, Lux, R, G, B, C
1608197082,5862,1362,2872,3017,3371,9868
1608197103,5862,1362,2872,3017,3371,9869
1608197124,5862,1362,2872,3017,3371,9869
1608197144,5862,1362,2872,3017,3371,9869
1608197165,5862,1362,2872,3017,3371,9869
1608197186,5864,1362,2871,3017,3371,9868
1608197206,5864,1362,2871,3017,3371,9868
1608197227,5864,1362,2871,3017,3371,9869
1608197248,5865,1361,2871,3017,3372,9869
1608197268,5864,1362,2871,3017,3371,9869
1608197289,5865,1363,2871,3018,3372,9870
1608197310,5865,1363,2871,3018,3372,9869
1608197331,5865,1363,2871,3018,3372,9870
1608197351,5867,1363,2870,3018,3372,9869
1608197372,5867,1363,2870,3018,3372,9870
1608197393,5867,1363,2870,3018,3372,9870
1608197413,5867,1363,2870,3018,3372,9870
1608197434,5868,1364,2869,3018,3372,9869
1608197455,5867,1363,2870,3018,3372,9870
1608197475,5867,1363,2870,3018,3372,9870
1608197496,5868,1364,2870,3019,3373,9871
1608197517,5870,1364,2869,3019,3373,9871
1608197538,5870,1364,2869,3019,3373,9871
1608197558,5870,1364,2869,3019,3373,9871
1608197579,5870,1364,2869,3019,3373,9871
1608197600,5870,1364,2869,3019,3373,9872
1608197620,5870,1364,2869,3019,3373,9872
1608197641,5870,1364,2869,3019,3373,9872
1608197662,5870,1366,2869,3020,3373,9873
1608197683,5870,1366,2869,3020,3373,9872
1608197703,5873,1366,2868,3020,3374,9872
1608197724,5870,1366,2869,3020,3373,9873
1608197745,5873,1366,2868,3020,3374,9874
1608197765,5873,1366,2868,3020,3374,9874
1608197786,5873,1366,2868,3020,3374,9874
1608197807,5873,1367,2868,3021,3374,9874
1608197827,5873,1366,2868,3020,3374,9874
1608197848,5873,1367,2868,3021,3374,9874
1608197869,5874,1366,2868,3021,3375,9875
1608197890,5873,1367,2868,3021,3374,9875
1608197910,5873,1367,2868,3021,3374,9875
1608197931,5874,1367,2867,3021,3374,9874
1608197952,5874,1367,2867,3021,3374,9874
1608197972,5876,1367,2867,3021,3375,9875
1608197993,5876,1367,2867,3021,3375,9875
1608198014,5876,1367,2867,3021,3375,9875
1608198035,5876,1367,2867,3021,3375,9875
1608198055,5876,1368,2867,3022,3375,9876
1608198076,5876,1368,2867,3022,3375,9876
1608198097,5876,1368,2867,3022,3375,9875
1608198117,5876,1368,2867,3022,3375,9876
1608198138,5877,1368,2867,3022,3376,9876
1608198159,5877,1369,2866,3022,3375,9876
1608198179,5877,1369,2866,3022,3375,9874
1608198200,5878,1368,2866,3022,3376,9876
1608198221,5879,1369,2865,3022,3375,9875
1608198242,5879,1369,2865,3022,3375,9875
1608198262,5880,1368,2865,3022,3376,9876
1608198283,5880,1370,2865,3023,3376,9876
1608198304,5880,1370,2865,3023,3376,9877
1608198324,5880,1370,2865,3023,3376,9877
1608198345,5880,1370,2865,3023,3376,9876
1608198366,5880,1370,2865,3023,3376,9877
1608198386,5880,1370,2865,3023,3376,9876
1608198407,5880,1370,2865,3023,3376,9877
1608198428,5880,1370,2865,3023,3376,9877
1608198449,5882,1370,2864,3023,3376,9876
1608198469,5882,1370,2864,3023,3376,9876
1608198490,5882,1372,2864,3024,3376,9877
1608198511,5882,1372,2864,3024,3376,9876
1608198531,5882,1370,2864,3023,3376,9876
1608198552,5883,1370,2863,3023,3376,9875
1608198573,5883,1370,2862,3022,3375,9871
1608198594,5883,1370,2862,3022,3375,9872
1608198614,5883,1370,2862,3022,3375,9872
1608198635,5883,1372,2862,3023,3375,9872
1608198656,5883,1372,2862,3023,3375,9872
1608198676,5885,1370,2861,3022,3375,9872
1608198697,5885,1372,2861,3023,3375,9872
1608198718,5885,1372,2861,3023,3375,9872
1608198738,5885,1372,2861,3023,3375,9872
1608198759,5885,1372,2861,3023,3375,9871
1608198780,5887,1372,2860,3023,3375,9871
1608198801,5885,1372,2861,3023,3375,9872
1608198821,5887,1372,2860,3023,3375,9871
1608198842,5887,1372,2860,3023,3375,9871
1608198863,5887,1372,2860,3023,3375,9870
1608198883,5887,1372,2860,3023,3375,9870
1608198904,5885,1371,2860,3022,3374,9870
1608198925,5888,1373,2859,3023,3375,9870
1608198945,5888,1373,2859,3023,3375,9870
1608198966,5887,1372,2859,3022,3374,9869
1608198987,5888,1372,2858,3022,3374,9866
1608199008,5889,1371,2857,3021,3373,9864
1608199028,5887,1372,2857,3021,3372,9862
1608199049,5889,1371,2856,3020,3372,9860
1608199070,5889,1372,2855,3020,3371,9859
1608199090,5889,1370,2855,3019,3371,9858
1608199111,5891,1371,2854,3019,3371,9857
1608199132,5889,1371,2854,3019,3370,9856
1608199152,5889,1371,2854,3019,3370,9856
1608199173,5891,1372,2853,3019,3370,9855
1608199194,5891,1372,2853,3019,3370,9855
1608199215,5891,1372,2853,3019,3370,9855
1608199235,5891,1372,2853,3019,3370,9854
1608199256,5891,1372,2853,3019,3370,9855
1608199277,5892,1371,2852,3018,3370,9853
1608199297,5892,1372,2852,3019,3370,9854
1608199318,5891,1371,2852,3018,3369,9853
1608199339,5892,1371,2852,3018,3370,9853
1608199360,5892,1372,2852,3019,3370,9854
1608199380,5893,1372,2851,3018,3369,9853
1608199401,5893,1372,2851,3018,3369,9852
1608199422,5893,1372,2851,3018,3369,9851
1608199442,5893,1372,2851,3018,3369,9851
1608199463,5894,1372,2850,3018,3369,9851
1608199484,5894,1372,2850,3018,3369,9851
